filename,mfcc_start,chroma_start,tempo_start,mfcc_end,chroma_end,tempo_end,uri
astrid - glaive.mp3,"-338.9519958496094,146.06375122070312,-19.950891494750977,32.507781982421875,11.801795959472656","0.13317714631557465,0.3688971996307373,0.24217365682125092,0.20254717767238617,0.43225300312042236,0.227631613612175,0.1744532436132431,0.12105000764131546,0.3301492929458618,0.3101741075515747,0.10358718037605286,0.10521400719881058",112.3471467,"-783.4524536132812,47.74618911743164,1.7793248891830444,11.415365219116211,5.7709527015686035","0.0571012943983078,0.1689990609884262,0.1448959857225418,0.11308075487613678,0.21768689155578613,0.12995238602161407,0.09388066083192825,0.04564311355352402,0.08775142580270767,0.12153883278369904,0.04791264981031418,0.05181706324219704",112.3471467,spotify:track:3SpRtNO7GKWaFyWydXArvn
at least i look cool - Sasha Alex Sloan.mp3,"-347.3619384765625,116.79823303222656,48.36701202392578,19.86164093017578,16.11631202697754","0.1878436654806137,0.3269401490688324,0.22279289364814758,0.17978252470493317,0.3882417380809784,0.29069945216178894,0.35628876090049744,0.23951216042041779,0.2371125966310501,0.4107476472854614,0.3275086581707001,0.21518750488758087",86.1328125,"-443.15948486328125,133.2971649169922,24.760297775268555,6.582808494567871,9.639318466186523","0.18983259797096252,0.35539570450782776,0.2582606077194214,0.21141144633293152,0.355225533246994,0.2318934053182602,0.25615930557250977,0.18155813217163086,0.23902814090251923,0.2368532419204712,0.15133312344551086,0.1520097851753235",129.1992188,spotify:track:2eLDUK7EkpENZkDL9O5yhz
at least im pretty - Harriette.mp3,"-214.92141723632812,142.9864959716797,3.0789504051208496,58.506534576416016,21.187299728393555","0.38107287883758545,0.5468006730079651,0.401485413312912,0.34829026460647583,0.2628249526023865,0.34324607253074646,0.3023802936077118,0.39716824889183044,0.7612668871879578,0.5934798121452332,0.3558933138847351,0.27378249168395996",99.38401442,"-461.65155029296875,81.21585083007812,-8.380213737487793,-1.0150654315948486,7.805519104003906","0.2820902168750763,0.23955599963665009,0.1151907816529274,0.17862798273563385,0.14512993395328522,0.4963608682155609,0.14358913898468018,0.09730484336614609,0.2259300798177719,0.1456916779279709,0.05516838654875755,0.07296500355005264",198.7680288,
august - Taylor Swift.mp3,"-431.3544921875,112.53978729248047,12.517048835754395,6.153213977813721,-0.6269617676734924","0.6735058426856995,0.36294275522232056,0.23583035171031952,0.1786690056324005,0.23012587428092957,0.2669098377227783,0.1774877905845642,0.23024487495422363,0.18378427624702454,0.41700097918510437,0.3455149233341217,0.23779712617397308",117.4538352,"-715.5899047851562,105.5220718383789,1.5020263195037842,19.12530517578125,11.663592338562012","0.4932546615600586,0.35085347294807434,0.36051827669143677,0.25100427865982056,0.2687070369720459,0.43442073464393616,0.2953905463218689,0.3968869149684906,0.2932072579860687,0.3338303565979004,0.39585065841674805,0.3092150390148163",117.4538352,spotify:track:3hUxzQpSfdDqwM3ZTFQY0K
avalanche - Christian French.mp3,"-511.2397155761719,55.69340515136719,27.55197525024414,-3.5980777740478516,13.935442924499512","0.39811059832572937,0.5010248422622681,0.3118431568145752,0.16898778080940247,0.16991379857063293,0.10028816759586334,0.13348452746868134,0.6831547021865845,0.1313462108373642,0.03312333673238754,0.08950906246900558,0.2392013967037201",161.4990234,"-718.353271484375,56.992515563964844,37.98545455932617,30.546894073486328,-25.412397384643555","0.055442895740270615,0.1731034815311432,0.6177002191543579,0.9303136467933655,0.40094536542892456,0.07255856692790985,0.04488020017743111,0.043354373425245285,0.048459116369485855,0.062093641608953476,0.07409234344959259,0.06129191070795059",129.1992188,spotify:track:1RlmAzI27AlIpvoRN3u6Iy
backwards - ChrispyD.mp3,"-173.632080078125,118.53813934326172,-42.55030059814453,41.604148864746094,4.333805561065674","0.41051265597343445,0.4597083628177643,0.3183060884475708,0.5052661895751953,0.19197815656661987,0.20602047443389893,0.15750016272068024,0.2362716794013977,0.4458902180194855,0.2599988877773285,0.2604624629020691,0.20949535071849823",143.5546875,"-308.88275146484375,125.99613952636719,2.238675355911255,38.466861724853516,18.349308013916016","0.44963905215263367,0.5645666122436523,0.5877517461776733,0.5635659098625183,0.4274374842643738,0.3017328977584839,0.24131979048252106,0.22927765548229218,0.38986992835998535,0.3500872850418091,0.28510698676109314,0.3105212152004242",143.5546875,spotify:track:0Tzwe4DT6IZpfIxxzUAnoq
bad day - blackbear.mp3,"-144.66055297851562,88.20310974121094,-54.21189880371094,26.350927352905273,2.5157053470611572","0.3153327405452728,0.36201363801956177,0.2406424731016159,0.28353700041770935,0.42063775658607483,0.31800708174705505,0.3255676031112671,0.28558599948883057,0.45758798718452454,0.6484612822532654,0.3854571580886841,0.4839232265949249",151.9990809,"-122.71415710449219,46.853763580322266,5.366909503936768,16.835681915283203,5.659814834594727","0.4446171522140503,0.4690692722797394,0.3895357847213745,0.40632522106170654,0.4525313675403595,0.3732929229736328,0.3994545340538025,0.37004366517066956,0.5152890086174011,0.6331526041030884,0.5130622386932373,0.5558993220329285",151.9990809,spotify:track:7jCSncvK7rzgYQehMosoM3
bad ones - Tate McRae.mp3,"-355.57733154296875,136.47116088867188,-4.258854866027832,27.93848419189453,16.514333724975586","0.15616613626480103,0.2050955593585968,0.25338003039360046,0.35253962874412537,0.41526490449905396,0.5100597739219666,0.5566432476043701,0.5062340497970581,0.5510567426681519,0.4572760760784149,0.34938785433769226,0.21474236249923706",129.1992188,"-266.4555969238281,71.47687530517578,25.706388473510742,11.234467506408691,11.392009735107422","0.4642222821712494,0.5162463188171387,0.41285189986228943,0.3973737955093384,0.3416591286659241,0.3570452928543091,0.3958054184913635,0.38321369886398315,0.42681390047073364,0.4088099002838135,0.44986703991889954,0.45448750257492065",135.9991776,spotify:track:6CYT0souHUHKTO4EMzTUFg
bad vibes forever - XXXTENTACION.mp3,"-229.9424591064453,108.0430679321289,-17.471542358398438,6.7931318283081055,1.4530593156814575","0.6394841074943542,0.3521466851234436,0.36740729212760925,0.4821001887321472,0.27374157309532166,0.21001657843589783,0.2039196938276291,0.2919307351112366,0.252278208732605,0.31940633058547974,0.5613027811050415,0.4352707266807556",129.1992188,"-1131.37109375,0.0,0.0,0.0,0.0","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0",117.4538352,spotify:track:03eJ2DclFWXYU8GWgANdmZ
bastard - glaive.mp3,"-241.93670654296875,168.9178924560547,-12.367962837219238,38.629364013671875,-23.63790512084961","0.4861573874950409,0.26314228773117065,0.3740561902523041,0.21620294451713562,0.35363340377807617,0.3642674386501312,0.13656450808048248,0.18313972651958466,0.1988406926393509,0.4219212234020233,0.3508581519126892,0.35013529658317566",107.6660156,"-442.929443359375,102.27022552490234,1.3755626678466797,10.267651557922363,3.3261773586273193","0.1054651141166687,0.07428259402513504,0.07649077475070953,0.24362730979919434,0.3675728142261505,0.1333724856376648,0.16929060220718384,0.2297210395336151,0.5271684527397156,0.3383106589317322,0.1641027331352234,0.2823024392127991",161.4990234,spotify:track:22MVIVqYMJbhA5OHRNRzdS
